run_id,episode,total_reward,avg_reward,epsilon,alpha,gamma,qtable_coverage
1,457,-80,-0.18,0.10119,0.1,0.9,98.0
1,458,-60,-0.13,0.10069,0.1,0.9,98.0
1,459,-165,-0.36,0.10018,0.1,0.9,98.0
1,460,-100,-0.22,0.09968,0.1,0.9,98.0
1,461,-255,-0.55,0.09918,0.1,0.9,98.0
1,462,-185,-0.4,0.09869,0.1,0.9,98.0
1,463,-120,-0.26,0.09819,0.1,0.9,98.0
1,464,-100,-0.22,0.0977,0.1,0.9,98.0
1,465,-60,-0.13,0.09721,0.1,0.9,98.0
1,466,-130,-0.28,0.09673,0.1,0.9,98.0
1,467,-80,-0.17,0.09625,0.1,0.9,98.0
1,468,-430,-0.92,0.09576,0.1,0.9,98.0
1,469,-185,-0.39,0.09529,0.1,0.9,98.0
1,470,-60,-0.13,0.09481,0.1,0.9,98.0
